BaziQA 评估开始：50 位名人
  ✅ albert_ii_prince_of_monaco_P001-Q1 模型=B 答案=B
  ✅ albert_ii_prince_of_monaco_P001-Q2 模型=C 答案=C
  ❌ albert_ii_prince_of_monaco_P001-Q3 模型=C 答案=B
  ❌ albert_ii_prince_of_monaco_P001-Q4 模型=A 答案=C
  ❌ albert_ii_prince_of_monaco_P001-Q5 模型=A 答案=B
  ❌ albert_ii_prince_of_monaco_P001-Q6 模型=A 答案=C
  ❌ albert_ii_prince_of_monaco_P001-Q7 模型=B 答案=D
  ❌ albert_ii_prince_of_monaco_P001-Q8 模型=D 答案=C
  ✅ albert_ii_prince_of_monaco_P001-Q9 模型=C 答案=C
  ✅ albert_ii_prince_of_monaco_P001-Q10 模型=C 答案=C
  → Albert II, Prince of Monaco: 4/10
  ✅ alexei_navalny_P002-Q1 模型=B 答案=B
  ❌ alexei_navalny_P002-Q2 模型=A 答案=C
  ✅ alexei_navalny_P002-Q3 模型=C 答案=C
  ❌ alexei_navalny_P002-Q4 模型=A 答案=C
  ✅ alexei_navalny_P002-Q5 模型=B 答案=B
  ❌ alexei_navalny_P002-Q6 模型=A 答案=B
  ✅ alexei_navalny_P002-Q7 模型=C 答案=C
  ✅ alexei_navalny_P002-Q8 模型=C 答案=C
  ✅ alexei_navalny_P002-Q9 模型=C 答案=C
  ✅ alexei_navalny_P002-Q10 模型=B 答案=B
  → Alexei Navalny: 7/10
  ✅ angela_merkel_P003-Q1 模型=B 答案=B
  ❌ angela_merkel_P003-Q2 模型=A 答案=B
  ❌ angela_merkel_P003-Q3 模型=C 答案=B
  ❌ angela_merkel_P003-Q4 模型=A 答案=B
  ✅ angela_merkel_P003-Q5 模型=B 答案=B
  ✅ angela_merkel_P003-Q6 模型=B 答案=B
  ❌ angela_merkel_P003-Q7 模型=A 答案=B
  ✅ angela_merkel_P003-Q8 模型=C 答案=C
  ✅ angela_merkel_P003-Q9 模型=B 答案=B
  ❌ angela_merkel_P003-Q10 模型=A 答案=C
  → Angela Merkel: 5/10
  ❌ aung_san_suu_kyi_P004-Q1 模型=A 答案=B
  ❌ aung_san_suu_kyi_P004-Q2 模型=C 答案=B
  ❌ aung_san_suu_kyi_P004-Q3 模型=D 答案=B
  ❌ aung_san_suu_kyi_P004-Q4 模型=A 答案=B
  ❌ aung_san_suu_kyi_P004-Q5 模型=A 答案=C
  ✅ aung_san_suu_kyi_P004-Q6 模型=B 答案=B
  ❌ aung_san_suu_kyi_P004-Q7 模型=A 答案=B
  ❌ aung_san_suu_kyi_P004-Q8 模型=A 答案=B
  ✅ aung_san_suu_kyi_P004-Q9 模型=A 答案=A
  ❌ aung_san_suu_kyi_P004-Q10 模型=A 答案=B
  → Aung San Suu Kyi: 2/10
  ❌ benazir_bhutto_P005-Q1 模型=A 答案=B
  ❌ benazir_bhutto_P005-Q2 模型=B 答案=C
  ❌ benazir_bhutto_P005-Q3 模型=A 答案=B
  ✅ benazir_bhutto_P005-Q4 模型=B 答案=B
  ❌ benazir_bhutto_P005-Q5 模型=A 答案=B
  ✅ benazir_bhutto_P005-Q6 模型=B 答案=B
  ✅ benazir_bhutto_P005-Q7 模型=A 答案=A
  ✅ benazir_bhutto_P005-Q8 模型=B 答案=B
  ❌ benazir_bhutto_P005-Q9 模型=A 答案=C
  ❌ benazir_bhutto_P005-Q10 模型=A 答案=C
  → Benazir Bhutto: 4/10
  ✅ benjamin_netanyahu_P006-Q1 模型=B 答案=B
  ❌ benjamin_netanyahu_P006-Q2 模型=A 答案=B
  ✅ benjamin_netanyahu_P006-Q3 模型=B 答案=B
  ❌ benjamin_netanyahu_P006-Q4 模型=A 答案=B
  ✅ benjamin_netanyahu_P006-Q5 模型=B 答案=B
  ✅ benjamin_netanyahu_P006-Q6 模型=B 答案=B
  ✅ benjamin_netanyahu_P006-Q7 模型=C 答案=C
  ✅ benjamin_netanyahu_P006-Q8 模型=C 答案=C
  ❌ benjamin_netanyahu_P006-Q9 模型=A 答案=C
  ✅ benjamin_netanyahu_P006-Q10 模型=A 答案=A
  → Benjamin Netanyahu: 7/10
  ✅ bill_clinton_P007-Q1 模型=B 答案=B
  ✅ bill_clinton_P007-Q2 模型=C 答案=C
  ❌ bill_clinton_P007-Q3 模型=D 答案=E
  ✅ bill_clinton_P007-Q4 模型=B 答案=B
  ✅ bill_clinton_P007-Q5 模型=B 答案=B
  ❌ bill_clinton_P007-Q6 模型=E 答案=B
  ❌ bill_clinton_P007-Q7 模型=A 答案=B
  ❌ bill_clinton_P007-Q8 模型=A 答案=B
  ❌ bill_clinton_P007-Q9 模型=A 答案=B
  ✅ bill_clinton_P007-Q10 模型=B 答案=B
  → Bill Clinton: 5/10
  ✅ bill_gates_P008-Q1 模型=B 答案=B
  ❌ bill_gates_P008-Q2 模型=D 答案=B
  ❌ bill_gates_P008-Q3 模型=E 答案=C
  ❌ bill_gates_P008-Q4 模型=A 答案=C
  ❌ bill_gates_P008-Q5 模型=C 答案=B
  ✅ bill_gates_P008-Q6 模型=C 答案=C
  ❌ bill_gates_P008-Q7 模型=A 答案=B
  ❌ bill_gates_P008-Q8 模型=C 答案=B
  ✅ bill_gates_P008-Q9 模型=B 答案=B
  ✅ bill_gates_P008-Q10 模型=B 答案=B
  → Bill Gates: 4/10
  ❌ carl_sagan_P009-Q1 模型=A 答案=B
  ❌ carl_sagan_P009-Q2 模型=A 答案=B
  ❌ carl_sagan_P009-Q3 模型=A 答案=B
  ❌ carl_sagan_P009-Q4 模型=A 答案=C
  ❌ carl_sagan_P009-Q5 模型=A 答案=B
